Statistical profiling result from isolate-0x138008000-24751-v8.log, (3160 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
   ticks  total  nonlib   name
   1473   46.6%   48.8%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
    352   11.1%   11.7%  T _semaphore_destroy
    146    4.6%    4.8%  T _posix_spawnattr_setflags
    121    3.8%    4.0%  T _connect$NOCANCEL
     95    3.0%    3.1%  T _mach_port_extract_member
     89    2.8%    2.9%  T _mach_port_insert_member
     47    1.5%    1.6%  T _mach_vm_protect
     44    1.4%    1.5%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
     36    1.1%    1.2%  T _sigprocmask
     32    1.0%    1.1%  T ___bsdthread_terminate
     24    0.8%    0.8%  T _mach_port_insert_right
     23    0.7%    0.8%  T _setpriority
     19    0.6%    0.6%  T __kernelrpc_mach_port_get_refs
     17    0.5%    0.6%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     17    0.5%    0.6%  T _mach_timebase_info_trap
     12    0.4%    0.4%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.3%    0.4%  T _mmap
     10    0.3%    0.3%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.3%    0.3%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.3%    0.3%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.3%    0.3%  T _host_get_io_master
      9    0.3%    0.3%  T __kernelrpc_mach_port_move_member_trap
      7    0.2%    0.2%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      5    0.2%    0.2%  t __os_once_gate_wait
      5    0.2%    0.2%  t __os_nospin_lock_unlock_slow
      5    0.2%    0.2%  T node::InternalMakeCallback(node::Environment*, v8::Local<v8::Object>, v8::Local<v8::Object>, v8::Local<v8::Function>, int, v8::Local<v8::Value>*, node::async_context)
      4    0.1%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.1%    0.1%  T _chmod
      3    0.1%    0.1%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      3    0.1%    0.1%  t std::__1::__hash_table<unsigned long, std::__1::hash<unsigned long>, std::__1::equal_to<unsigned long>, std::__1::allocator<unsigned long> >::remove(std::__1::__hash_const_iterator<std::__1::__hash_node<unsigned long, void*>*>)
      3    0.1%    0.1%  t __os_nospin_lock_lock_slow
      3    0.1%    0.1%  T node::fs::AfterInteger(uv_fs_s*)
      3    0.1%    0.1%  T _task_set_special_port
      2    0.1%    0.1%  t std::__1::vector<unsigned long, std::__1::allocator<unsigned long> >::__append(unsigned long)
      2    0.1%    0.1%  t node::BaseObject::decrease_refcount()
      2    0.1%    0.1%  T node::fs::FSReqCallback::Resolve(v8::Local<v8::Value>)
      2    0.1%    0.1%  T node::fs::FSReqBase::~FSReqBase()
      2    0.1%    0.1%  T node::NodeArrayBufferAllocator::Allocate(unsigned long)
      2    0.1%    0.1%  T node::InternalCallbackScope::Close()
      2    0.1%    0.1%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T node::AsyncWrap::EmitTraceEventDestroy()
      2    0.1%    0.1%  T node::AsyncWrap::AsyncReset(v8::Local<v8::Object>, double, bool)
      2    0.1%    0.1%  T _pthread_cond_init
      2    0.1%    0.1%  T _posix_spawn
      1    0.0%    0.0%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      1    0.0%    0.0%  t std::__1::__hash_table<unsigned long long, std::__1::hash<unsigned long long>, std::__1::equal_to<unsigned long long>, std::__1::allocator<unsigned long long> >::__rehash(unsigned long)
      1    0.0%    0.0%  t std::__1::__hash_iterator<std::__1::__hash_node<void*, void*>*> std::__1::__hash_table<void*, std::__1::hash<void*>, std::__1::equal_to<void*>, std::__1::allocator<void*> >::find<void*>(void* const&)
      1    0.0%    0.0%  t std::__1::__hash_iterator<std::__1::__hash_node<node::CleanupHookCallback, void*>*> std::__1::__hash_table<node::CleanupHookCallback, node::CleanupHookCallback::Hash, node::CleanupHookCallback::Equal, std::__1::allocator<node::CleanupHookCallback> >::find<node::CleanupHookCallback>(node::CleanupHookCallback const&)
      1    0.0%    0.0%  t non-virtual thunk to node::PerIsolatePlatformData::NonNestableDelayedTasksEnabled() const
      1    0.0%    0.0%  t node::Environment::RunAndClearNativeImmediates(bool)::$_7::operator()(node::CallbackQueue<void, node::Environment*>*) const
      1    0.0%    0.0%  t node::CustomBufferJSListener::OnStreamDestroy()
      1    0.0%    0.0%  t node::AsyncHooks::pop_async_context(double)
      1    0.0%    0.0%  t __pthread_terminate
      1    0.0%    0.0%  t __pthread_mutex_lock_init_slow
      1    0.0%    0.0%  T node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::fs::FSReqCallback::SetReturnValue(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.0%    0.0%  T node::errors::TryCatchScope::~TryCatchScope()
      1    0.0%    0.0%  T node::Environment::Environment(node::IsolateData*, v8::Isolate*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, node::EnvSerializeInfo const*, node::EnvironmentFlags::Flags, node::ThreadId)
      1    0.0%    0.0%  T node::Buffer::Data(v8::Local<v8::Value>)
      1    0.0%    0.0%  T node::AsyncWrap::MakeCallback(v8::Local<v8::Function>, int, v8::Local<v8::Value>*)
      1    0.0%    0.0%  T node::AsyncWrap::EmitTraceEventBefore()
      1    0.0%    0.0%  T node::AsyncWrap::EmitTraceEventAfter(node::AsyncWrap::ProviderType, double)
      1    0.0%    0.0%  T node::AsyncWrap::EmitDestroy(node::Environment*, double)
      1    0.0%    0.0%  T _semaphore_signal
      1    0.0%    0.0%  T __kernelrpc_mach_vm_map
      1    0.0%    0.0%  T ___libplatform_init

 [Summary]:
   ticks  total  nonlib   name
    310    9.8%   10.3%  JavaScript
   2693   85.2%   89.3%  C++
    455   14.4%   15.1%  GC
    143    4.5%          Shared libraries
     14    0.4%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
   1028   57.1%   32.5%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
    350   19.5%   11.1%  T _semaphore_destroy
    117    6.5%    3.7%  T _connect$NOCANCEL
     95    5.3%    3.0%  T _mach_port_extract_member
     44    2.4%    1.4%  T node::fs::NewFSReqCallback(v8::FunctionCallbackInfo<v8::Value> const&)
     19    1.1%    0.6%  T _sigprocmask
     18    1.0%    0.6%  T _mach_port_insert_member
     17    0.9%    0.5%  T node::contextify::ContextifyContext::CompileFunction(v8::FunctionCallbackInfo<v8::Value> const&)
     17    0.9%    0.5%  T _mach_port_insert_right
     12    0.7%    0.4%  t node::fs::InternalModuleReadJSON(v8::FunctionCallbackInfo<v8::Value> const&)
     11    0.6%    0.3%  T _mmap
     10    0.6%    0.3%  t node::fs::Open(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.5%    0.3%  t node::fs::Read(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.5%    0.3%  t node::fs::InternalModuleStat(v8::FunctionCallbackInfo<v8::Value> const&)
      9    0.5%    0.3%  T __kernelrpc_mach_port_move_member_trap
      7    0.4%    0.2%  t node::fs::Stat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    0.2%    0.1%  T node::binding::GetInternalBinding(v8::FunctionCallbackInfo<v8::Value> const&)
      3    0.2%    0.1%  T __kernelrpc_mach_port_get_refs
      2    0.1%    0.1%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      2    0.1%    0.1%  t __os_nospin_lock_lock_slow
      2    0.1%    0.1%  T node::NodeArrayBufferAllocator::Allocate(unsigned long)
      2    0.1%    0.1%  T node::HandleWrap::Close(v8::FunctionCallbackInfo<v8::Value> const&)
      2    0.1%    0.1%  T _pthread_cond_init
      1    0.1%    0.0%  t std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> > std::__1::__pad_and_output<char, std::__1::char_traits<char> >(std::__1::ostreambuf_iterator<char, std::__1::char_traits<char> >, char const*, char const*, char const*, std::__1::ios_base&, char)
      1    0.1%    0.0%  t std::__1::__hash_table<unsigned long long, std::__1::hash<unsigned long long>, std::__1::equal_to<unsigned long long>, std::__1::allocator<unsigned long long> >::__rehash(unsigned long)
      1    0.1%    0.0%  t __pthread_terminate
      1    0.1%    0.0%  t __pthread_mutex_lock_init_slow
      1    0.1%    0.0%  T node::loader::ModuleWrap::New(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  T node::fs::FSReqCallback::SetReturnValue(v8::FunctionCallbackInfo<v8::Value> const&)
      1    0.1%    0.0%  T node::Buffer::Data(v8::Local<v8::Value>)
      1    0.1%    0.0%  T node::AsyncWrap::AsyncReset(v8::Local<v8::Object>, double, bool)
      1    0.1%    0.0%  T ___libplatform_init
      1    0.1%    0.0%  T ___bsdthread_terminate

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
   1473   46.6%  t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
     67    4.5%    LazyCompile: *Socket node:net:283:16
     56   83.6%      LazyCompile: *onconnection node:net:1544:22
     11   16.4%      Function: ^onconnection node:net:1544:22
     65    4.4%    LazyCompile: *nextTick node:internal/process/task_queues:104:18
     20   30.8%      LazyCompile: *write_ node:_http_outgoing:730:16
     20  100.0%        LazyCompile: *ondata node:internal/streams/readable:752:18
     19   95.0%          LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
     17   89.5%            LazyCompile: *wrapper node:fs:658:19
      1    5.3%            LazyCompile: *<anonymous> node:internal/fs/streams:248:41
      1    5.3%            Function: ^Readable.push node:internal/streams/readable:227:35
      1    5.0%          Function: ^emit node:events:470:44
      1  100.0%            Function: ^addChunk node:internal/streams/readable:304:18
     17   26.2%      LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
     17  100.0%        LazyCompile: *wrapper node:fs:658:19
      6    9.2%      LazyCompile: *afterShutdown node:net:451:23
